cap,wear,breakeven
150,750,0.0
225,750,0.10279157254661447
300,750,0.008443830409920704
450,750,0.043920623574401935
600,750,0.2136245387217072
150,1125,0.0
225,1125,0.09153994435582702
300,1125,0.0574378765497954
450,1125,0.061655692784767804
600,1125,0.3096011146744021
150,1500,0.0
225,1500,0.08408196207091853
300,1500,0.014795709373780165
450,1500,0.06997061247397098
600,1500,0.24112062439125798
150,2250,0.0
225,2250,0.07180215229322529
300,2250,0.013330679484854575
450,2250,0.06611051096364906
600,2250,0.2444037068082711
150,3000,0.0
225,3000,0.06365654799871012
300,3000,0.011816893660471147
450,3000,0.001290900020743098
600,3000,0.24799516327715207
