look_frac,adaptive,adaptive_ci,adapt_thresh,blind,blind_ci,blind_period,gap,gap_ci
0.0,1191.7475138421307,15.593791599217392,0.6,1144.0070790921884,2.32228417564377,40,47.740434749942345,15.678289317228804
0.025,1161.9538259960775,15.203946809236951,0.6,1144.0070790921884,2.32228417564377,40,17.94674690388912,15.292847434698123
0.05,1132.1601381500245,14.814102019256518,0.6,1144.0070790921884,2.32228417564377,40,-11.84694094216398,14.907634531599067
0.075,1102.3664503039706,14.424257229276076,0.6,1144.0070790921884,2.32228417564377,40,-41.64062878821775,14.522668828939343
0.1,1072.5727624579174,14.034412439295647,0.6,1144.0070790921884,2.32228417564377,40,-71.43431663427097,14.137970519947979
0.125,1042.7790746118644,13.644567649315213,0.6,1144.0070790921884,2.32228417564377,40,-101.22800448032405,13.753562042297972
0.15,1012.9853867658113,13.254722859334782,0.6,1144.0070790921884,2.32228417564377,40,-131.02169232637706,13.369468396324164
0.175,983.1916989197581,12.86487806935435,0.6,1144.0070790921884,2.32228417564377,40,-160.81538017243037,12.985717518482817
0.2,953.3980110737044,12.475033279373909,0.6,1144.0070790921884,2.32228417564377,40,-190.60906801848404,12.602340721465279
0.225,923.6043232276512,12.085188489393474,0.6,1144.0070790921884,2.32228417564377,40,-220.4027558645372,12.219373215125334
0.25,893.810635381598,11.69534369941304,0.6,1144.0070790921884,2.32228417564377,40,-250.19644371059033,11.836854725884432
0.275,864.0169475355448,11.305498909432611,0.6,1144.0070790921884,2.32228417564377,40,-279.9901315566435,11.4548302367784
0.3,834.2232596894916,10.915654119452176,0.6,1144.0070790921884,2.32228417564377,40,-309.78381940269685,11.073350876120672
0.325,804.4295718434382,10.525809329471738,0.6,1144.0070790921884,2.32228417564377,40,-339.5775072487502,10.692474990314539
0.35,774.6358839973847,10.135964539491301,0.6,1144.0070790921884,2.32228417564377,40,-369.3711950948037,10.31226944624078
0.375,744.8421961513316,9.74611974951087,0.6,1144.0070790921884,2.32228417564377,40,-399.16488294085667,9.932811221692997
0.4,715.0485083052787,9.356274959530438,0.6,1144.0070790921884,2.32228417564377,40,-428.95857078690983,9.554189359660992
0.425,685.2548204592251,8.966430169549998,0.6,1144.0070790921884,2.32228417564377,40,-458.7522586329633,9.176507385453236
0.45,655.4611326131719,8.576585379569561,0.6,1144.0070790921884,2.32228417564377,40,-488.54594647901644,8.799886316927408
0.475,625.6674447671186,8.186740589589126,0.6,1144.0070790921884,2.32228417564377,40,-518.3396343250699,8.424468440617748
0.5,595.8737569210654,7.796895799608696,0.6,1144.0070790921884,2.32228417564377,40,-548.133322171123,8.050422084812228
0.525,566.0800690750123,7.407051009628259,0.6,1144.0070790921884,2.32228417564377,40,-577.9270100171761,7.677947701101523
0.55,536.2863812289586,7.017206219647822,0.6,1144.0070790921884,2.32228417564377,40,-607.7206978632297,7.30728567791199
0.575,506.4926933829057,6.627361429667393,0.6,1144.0070790921884,2.32228417564377,40,-637.5143857092827,6.938726466501979
0.6,476.6990055368522,6.237516639686954,0.6,1144.0070790921884,2.32228417564377,40,-667.3080735553361,6.572623821260586
0.625,446.905317690799,5.84767184970652,0.6,1144.0070790921884,2.32228417564377,40,-697.1017614013894,6.2094122697095075
0.65,417.1116298447458,5.457827059726088,0.6,1144.0070790921884,2.32228417564377,40,-726.8954492474426,5.849630372526597
0.675,387.31794199869233,5.06798226974565,0.6,1144.0070790921884,2.32228417564377,40,-756.6891370934961,5.49395196335953
0.7,357.52425415263934,4.678137479765219,0.6,1144.0070790921884,2.32228417564377,40,-786.482824939549,5.143228439100125
0.725,327.73056630658596,4.288292689784781,0.6,1144.0070790921884,2.32228417564377,40,-816.2765127856023,4.7985463734743945
0.75,297.9368784605327,3.898447899804348,0.6,1144.0070790921884,2.32228417564377,40,-846.0702006316558,4.461306281858491
0.775,268.1431906144793,3.508603109823911,0.6,1144.0070790921884,2.32228417564377,40,-875.863888477709,4.133330146899174
0.8,238.34950276842602,3.1187583198434767,0.6,1144.0070790921884,2.32228417564377,40,-905.6575763237623,3.8170067312661207
